trimmed_seq_name	complete_seq_name
A/Kenya/GIHSN-HCL022160202301/2021	A/Kenya/GIHSN-HCL022160202301/2021|EPI_ISL_16201065|2021-07-15
A/Kenya/GIHSN-HCL022160205101/2021	A/Kenya/GIHSN-HCL022160205101/2021|EPI_ISL_16201066|2021-08-03
A/Kenya/GIHSN-HCL022162062401/2021	A/Kenya/GIHSN-HCL022162062401/2021|EPI_ISL_16201207|2021-08-16
A/Kenya/GIHSN-HCL022162078001/2021	A/Kenya/GIHSN-HCL022162078001/2021|EPI_ISL_16201208|2021-08-18
A/Kenya/GIHSN-HCL022162093901/2021	A/Kenya/GIHSN-HCL022162093901/2021|EPI_ISL_16201210|2021-08-19
A/Kenya/GIHSN-HCL022160045501/2021	A/Kenya/GIHSN-HCL022160045501/2021|EPI_ISL_16201044|2021-08-23
A/Kenya/GIHSN-HCL022161538501/2021	A/Kenya/GIHSN-HCL022161538501/2021|EPI_ISL_16201200|2021-08-24
A/Kenya/GIHSN-HCL022160224601/2021	A/Kenya/GIHSN-HCL022160224601/2021|EPI_ISL_16201067|2021-10-18
A/Zambia/159/2021	A/Zambia/0159/2021|EPI_ISL_11496564|2021-02-09
A/Kenya/GIHSN-HCL022161252601/2021	A/Kenya/GIHSN-HCL022161252601/2021|EPI_ISL_16201183|2021-08-25
A/Kenya/145/2021	A/Kenya/145/2021|EPI_ISL_7257660|2021-09-09
A/Kenya/GIHSN-HCL022160108101/2021	A/Kenya/GIHSN-HCL022160108101/2021|EPI_ISL_16201051|2021-08-27
A/Kenya/153/2021	A/Kenya/153/2021|EPI_ISL_7257674|2021-09-14
A/Kenya/GIHSN-HCL022161286601/2021	A/Kenya/GIHSN-HCL022161286601/2021|EPI_ISL_16201184|2021-08-24
A/Kenya/138/2021	A/Kenya/138/2021|EPI_ISL_7257594|2021-09-02
A/Kenya/GIHSN-HCL022160083401/2021	A/Kenya/GIHSN-HCL022160083401/2021|EPI_ISL_16201048|2021-09-28
A/Kenya/GIHSN-HCL022160226601/2021	A/Kenya/GIHSN-HCL022160226601/2021|EPI_ISL_16201068|2021-10-22
