name,date
MW122378.1,2016-07-01
KY785464.1,2016-04-13
MW122414.1,2016-08-15
MW122420.1,2016-08-09
MW122433.1,2016-07-27
MW122435.1,2016-08-17
MW122377.1,2016-07-30
MW122392.1,2016-11-07
MW122408.1,2016-09-27
MW122373.1,2016-07-20
MW122411.1,2016-10-16
MW122424.1,2016-12-02
MH675626.1,2016-08-31
MW122407.1,2016-08-31
MW122403.1,2016-06-30
MW122405.1,2016-08-19
MW122442.1,2016-08-26
MW122406.1,2016-08-18
MW165883.1,2016-09-08
,2016-10-19
,2016-10-17
MW165882.1,2016-09-27
,2016-08-03
MW165884.1,2016-07-19
,2016-10-25
,2016-08-13
,2016-08-01
,2016-07-15
,2016-09-26
MW165881.1,2016-10-17
MW122383.1,2016-06-25
MW122384.1,2016-09-19
MH675625.1,2016-08-31
MW122446.1,2016-06-20
MW122447.1,2016-06-27
MW122375.1,2016-07-13
MW122454.1,2016-06-27
MH675619.1,2016-05-31
MW122393.1,2016-06-24
KY785481.1,2016-04-12
MW122387.1,2016-07-14
MH675628.1,2016-08-31
MW122425.1,2016-06-29
MW122439.1,2016-11-29
MW122374.1,2016-04-27
MW122398.1,2016-09-19
MW122418.1,2016-05-26
MW122380.1,2016-08-26
MW122444.1,2016-09-10
MW122441.1,2016-08-23
MW122376.1,2016-06-28
MH675620.1,2016-05-11
MW122395.1,2016-07-23
MW122440.1,2016-08-03
MW122417.1,2016-06-13
MN171421.1,2015-12-21
,2016-11-09
,2016-10-06
,2016-11-04
,2016-09-28
,2016-09-28
KY558991.1,2016-01-19
KY785410.1,2016-03-27
KY014308.2,2016-03-23
MT439638.1,2016-03-21
KY272991.1,2016-02-12
KU926309.2,2016-01-14
KY785437.1,2016-03-14
KY559025.1,2016-01-15
KY559032.1,2016-01-12
MW122431.1,2016-11-03
OK054388.1,2016-06-28
KY785471.1,2016-05-03
OK054441.1,2016-08-03
OK054372.1,2016-08-18
OK054374.1,2016-07-26
OK054373.1,2016-08-15
OK054376.1,2016-09-06
OK054375.1,2016-09-15
OK054379.1,2016-06-26
OK054380.1,2016-09-08
OK054377.1,2016-08-03
OK054378.1,2016-08-28
KY785461.1,2016-05-31
KX906952.1,2016-04-16
KX694534.2,2015-01-06
KX262887.1,2016-01-06
MF434518.1,2016-08-26
KY765324.1,2016-07-07
